,Buchungstag,Betrag,Kategorie
445,2018-11-12,6.94,Kleidung & Accessoires
446,2018-11-09,0.99,Nahrung & Verbrauchsartikel
447,2018-11-09,9.38,Nahrung & Verbrauchsartikel
448,2018-11-08,33.0,Miete & laufende Verträge
449,2018-11-07,60.0,Unbekannt & Bargeld
450,2018-11-07,137.6,Unterhaltung
451,2018-11-07,286.0,Kleidung & Accessoires
452,2018-11-07,6.88,Kleidung & Accessoires
453,2018-11-07,6.26,Nahrung & Verbrauchsartikel
454,2018-11-06,6.88,Technik
455,2018-11-06,20.1,Kleidung & Accessoires
456,2018-11-05,84.0,Miete & laufende Verträge
457,2018-11-02,69.8,Transport
458,2018-11-02,44.89,Miete & laufende Verträge
459,2018-10-31,3.0,Dienstleistungen & Gebühren
460,2018-10-30,7.92,Technik
461,2018-10-30,18.67,Nahrung & Verbrauchsartikel
462,2018-10-29,65.0,Nahrung & Verbrauchsartikel
463,2018-10-29,10.8,Transport
464,2018-10-29,0.99,Nahrung & Verbrauchsartikel
465,2018-10-29,40.0,Unterhaltung
466,2018-10-26,41.43,Kleidung & Accessoires
467,2018-10-26,53.88,Kleidung & Accessoires
468,2018-10-25,14.53,Nahrung & Verbrauchsartikel
469,2018-10-25,15.94,Technik
470,2018-10-25,14.99,Technik
471,2018-10-24,15.0,Unbekannt & Bargeld
472,2018-10-24,15.66,Unterhaltung
473,2018-10-24,6.7,Nahrung & Verbrauchsartikel
474,2018-10-24,100.0,Unbekannt & Bargeld
475,2018-10-24,260.0,Miete & laufende Verträge
476,2018-10-22,147.14,Unbekannt & Bargeld
477,2018-10-22,29.95,Kleidung & Accessoires
478,2018-10-22,3.59,Technik
479,2018-10-19,13.99,Nahrung & Verbrauchsartikel
480,2018-10-19,15.99,Nahrung & Verbrauchsartikel
481,2018-10-19,18.91,Kleidung & Accessoires
482,2018-10-18,8.05,Kleidung & Accessoires
483,2018-10-18,3.5,Kleidung & Accessoires
484,2018-10-16,25.09,Miete & laufende Verträge
485,2018-10-16,13.99,Unterhaltung
486,2018-10-15,42.19,Nahrung & Verbrauchsartikel
487,2018-10-15,23.95,Kleidung & Accessoires
488,2018-10-15,39.84,Kleidung & Accessoires
489,2018-10-15,16.5,Technik
490,2018-10-12,22.4,Transport
491,2018-10-12,248.81,Kleidung & Accessoires
492,2018-10-10,10.0,Miete & laufende Verträge
493,2018-10-10,42.82,Dienstleistungen & Gebühren
494,2018-10-10,33.0,Miete & laufende Verträge
495,2018-10-09,40.22,Nahrung & Verbrauchsartikel
496,2018-10-08,45.01,Transport
497,2018-10-08,14.82,Technik
498,2018-10-05,2.1,Transport
499,2018-10-05,2.1,Transport
500,2018-10-04,100.0,Unbekannt & Bargeld
501,2018-10-04,35.8,Transport
502,2018-10-02,84.0,Miete & laufende Verträge
503,2018-10-02,44.89,Miete & laufende Verträge
504,2018-10-02,15.0,Unbekannt & Bargeld
505,2018-10-01,17.2,Nahrung & Verbrauchsartikel
506,2018-10-01,132.99,Möbel & Einrichtung
507,2018-09-28,3.0,Dienstleistungen & Gebühren
508,2018-09-28,40.81,Transport
509,2018-09-28,44.9,Transport
510,2018-09-28,48.06,Transport
511,2018-09-27,37.76,Technik
512,2018-09-27,13.75,Kleidung & Accessoires
513,2018-09-25,50.0,Unbekannt & Bargeld
514,2018-09-25,46.0,Kleidung & Accessoires
515,2018-09-25,37.31,Kleidung & Accessoires
516,2018-09-24,13.61,Nahrung & Verbrauchsartikel
517,2018-09-24,260.0,Miete & laufende Verträge
518,2018-09-14,100.0,Unbekannt & Bargeld
519,2018-09-14,13.99,Unterhaltung
520,2018-09-14,25.0,Miete & laufende Verträge
521,2018-09-14,2.8,Transport
522,2018-09-11,55.07,Kleidung & Accessoires
523,2018-09-11,10.0,Miete & laufende Verträge
524,2018-09-10,5.4,Transport
525,2018-09-10,33.0,Miete & laufende Verträge
526,2018-09-07,62.7,Transport
527,2018-09-06,5.4,Transport
528,2018-09-05,84.0,Miete & laufende Verträge
529,2018-09-05,14.9,Transport
530,2018-09-04,25.8,Nahrung & Verbrauchsartikel
531,2018-09-04,5.4,Transport
532,2018-09-04,150.0,Unbekannt & Bargeld
533,2018-09-04,44.89,Miete & laufende Verträge
534,2018-09-03,14.0,Unterhaltung
535,2018-09-03,7.99,Nahrung & Verbrauchsartikel
536,2018-08-31,3.0,Dienstleistungen & Gebühren
537,2018-08-31,8.71,Nahrung & Verbrauchsartikel
538,2018-08-31,63.21,Kleidung & Accessoires
539,2018-08-31,4.99,Transport
540,2018-08-31,14.92,Transport
541,2018-08-31,23.65,Transport
542,2018-08-31,33.9,Technik
543,2018-08-29,226.88,Unterhaltung
544,2018-08-29,5.4,Transport
545,2018-08-29,26.3,Technik
546,2018-08-27,11.5,Nahrung & Verbrauchsartikel
547,2018-08-27,19.09,Nahrung & Verbrauchsartikel
548,2018-08-27,2.7,Transport
549,2018-08-24,260.0,Miete & laufende Verträge
550,2018-08-24,15.0,Unbekannt & Bargeld
551,2018-08-24,41.8,Transport
552,2018-08-24,15.0,Unbekannt & Bargeld
553,2018-08-22,45.0,Unterhaltung
554,2018-08-21,59.78,Unterhaltung
555,2018-08-20,20.16,Nahrung & Verbrauchsartikel
556,2018-08-20,45.9,Transport
557,2018-08-16,2.4,Kleidung & Accessoires
558,2018-08-15,25.0,Miete & laufende Verträge
559,2018-08-14,2.3,Transport
560,2018-08-14,13.99,Unterhaltung
561,2018-08-13,100.0,Unbekannt & Bargeld
562,2018-08-10,13.56,Kleidung & Accessoires
563,2018-08-10,10.0,Miete & laufende Verträge
564,2018-08-09,41.91,Technik
